-10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 
10 -1.30066e-16 -3.953 -5.81199 -6.82952 -7.45633 -7.87738 -8.17849 -8.40391 -8.57851 -8.7173 -8.82982 -8.92242 -8.99948 -9.06411 -9.11859 -9.16457 -9.20334 -9.23585 -9.26284 -9.28487 -9.30238 -9.31569 -9.32504 -9.33059 -9.33242 -9.33059 -9.32504 -9.31569 -9.30238 -9.28487 -9.26284 -9.23585 -9.20334 -9.16457 -9.11859 -9.06411 -8.99948 -8.92242 -8.82982 -8.7173 -8.57851 -8.40391 -8.17849 -7.87738 -7.45633 -6.82952 -5.81199 -3.953 3.27499e-11 10 
10 3.953 -6.09227e-16 -2.46543 -4.04975 -5.11841 -5.8747 -6.43267 -6.85863 -7.19285 -7.46088 -7.67956 -7.86038 -8.01138 -8.13839 -8.24566 -8.33637 -8.41294 -8.47722 -8.53063 -8.57427 -8.60896 -8.63534 -8.65388 -8.66488 -8.66853 -8.66488 -8.65388 -8.63534 -8.60896 -8.57427 -8.53063 -8.47722 -8.41294 -8.33637 -8.24566 -8.13839 -8.01138 -7.86038 -7.67956 -7.46088 -7.19285 -6.85863 -6.43267 -5.8747 -5.11841 -4.04975 -2.46543 2.05863e-10 3.953 10 
10 5.81199 2.46543 -6.99916e-16 -1.78565 -3.09284 -4.07035 -4.81887 -5.40508 -5.87337 -6.25381 -6.56717 -6.82814 -7.04729 -7.23241 -7.38928 -7.52231 -7.63484 -7.72947 -7.8082 -7.8726 -7.92384 -7.96284 -7.99025 -8.00653 -8.01192 -8.00653 -7.99025 -7.96284 -7.92384 -7.8726 -7.8082 -7.72947 -7.63484 -7.52231 -7.38928 -7.23241 -7.04729 -6.82814 -6.56717 -6.25381 -5.87337 -5.40508 -4.81887 -4.07035 -3.09284 -1.78565 6.22618e-10 2.46543 5.81199 10 
10 6.82952 4.04975 1.78565 -8.02804e-16 -1.39696 -2.495 -3.36738 -4.06944 -4.64174 -5.11381 -5.50717 -5.83771 -6.11724 -6.35466 -6.55676 -6.72873 -6.87463 -6.99761 -7.10012 -7.18408 -7.25098 -7.30193 -7.33777 -7.35905 -7.36611 -7.35905 -7.33777 -7.30193 -7.25098 -7.18408 -7.10012 -6.99761 -6.87463 -6.72873 -6.55676 -6.35466 -6.11724 -5.83771 -5.50717 -5.11381 -4.64174 -4.06944 -3.36738 -2.495 -1.39696 9.53611e-10 1.78565 4.04975 6.82952 10 
10 7.45633 5.11841 3.09284 1.39696 -5.09292e-16 -1.1453 -2.08621 -2.86356 -3.51036 -4.0525 -4.51 -4.8983 -5.2293 -5.51225 -5.75435 -5.96123 -6.13735 -6.28621 -6.41058 -6.51263 -6.59405 -6.65613 -6.69984 -6.7258 -6.73442 -6.7258 -6.69984 -6.65613 -6.59405 -6.51263 -6.41058 -6.28621 -6.13735 -5.96123 -5.75435 -5.51225 -5.2293 -4.8983 -4.51 -4.0525 -3.51036 -2.86356 -2.08621 -1.1453 1.34849e-09 1.39696 3.09284 5.11841 7.45633 10 
10 7.87738 5.8747 4.07035 2.495 1.1453 -2.8712e-16 -0.96861 -1.78823 -2.48364 -3.07584 -3.58204 -4.01617 -4.38941 -4.71069 -4.98714 -5.2245 -5.42734 -5.59931 -5.74336 -5.8618 -5.95646 -6.02872 -6.07964 -6.10991 -6.11995 -6.10991 -6.07964 -6.02872 -5.95646 -5.8618 -5.74336 -5.59931 -5.42734 -5.2245 -4.98714 -4.71069 -4.38941 -4.01617 -3.58204 -3.07584 -2.48364 -1.78823 -0.96861 1.41014e-09 1.1453 2.495 4.07035 5.8747 7.87738 10 
10 8.17849 6.43267 4.81887 3.36738 2.08621 0.96861 -3.34147e-16 -0.837092 -1.56014 -2.18516 -2.72614 -3.19495 -3.60149 -3.95394 -4.25904 -4.52229 -4.74818 -4.94035 -5.10175 -5.23476 -5.34125 -5.42266 -5.48008 -5.51424 -5.52558 -5.51424 -5.48008 -5.42266 -5.34125 -5.23476 -5.10175 -4.94035 -4.74818 -4.52229 -4.25904 -3.95394 -3.60149 -3.19495 -2.72614 -2.18516 -1.56014 -0.837092 1.45327e-09 0.96861 2.08621 3.36738 4.81887 6.43267 8.17849 10 
10 8.40391 6.85863 5.40508 4.06944 2.86356 1.78823 0.837092 -4.57905e-16 -0.73467 -1.37854 -1.94242 -2.43599 -2.86764 -3.24455 -3.5728 -3.85745 -4.10273 -4.31214 -4.48854 -4.63425 -4.75112 -4.8406 -4.90378 -4.94139 -4.95388 -4.94139 -4.90378 -4.8406 -4.75112 -4.63425 -4.48854 -4.31214 -4.10273 -3.85745 -3.5728 -3.24455 -2.86764 -2.43599 -1.94242 -1.37854 -0.73467 1.03523e-09 0.837092 1.78823 2.86356 4.06944 5.40508 6.85863 8.40391 10 
10 8.57851 7.19285 5.87337 4.64174 3.51036 2.48364 1.56014 0.73467 -6.31705e-16 -0.651889 -1.22902 -1.73895 -2.18853 -2.58384 -2.93014 -3.23197 -3.49316 -3.71694 -3.90601 -4.06256 -4.18838 -4.28486 -4.35304 -4.39366 -4.40716 -4.39366 -4.35304 -4.28486 -4.18838 -4.06256 -3.90601 -3.71694 -3.49316 -3.23197 -2.93014 -2.58384 -2.18853 -1.73895 -1.22902 -0.651889 8.55929e-10 0.73467 1.56014 2.48364 3.51036 4.64174 5.87337 7.19285 8.57851 10 
